Date,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24,Entropy_25,Entropy_26,Entropy_27,Entropy_28,Entropy_29,Entropy_30,Entropy_31,Entropy_32,Entropy_33,Entropy_34,Entropy_35,Entropy_36,Min,Max ,Mean
Mar-20,0.073868862,0.071311591,0.079980761,0.076806659,0.079025148,0.074781062,0.068855883,0.075193271,0.074016889,0.061067917,0.062145002,0.075420346,0.074051019,0.049938726,0.072438854,0.077728508,0.065436759,0.074028262,0.045100082,0.053289435,0.071173851,0.048790164,0.062307033,0.074861732,0.078065836,0.065416749,0.079956176,0.045568368,0.075330082,0.076032901,0.049599434,0.067874457,0.073013905,0.067198528,0.060275623,0.075935166,0.045100082,0.079980761,0.067357515
Apr-20,0.113029039,0.113337486,0.121124168,0.111679924,0.120781539,0.094828368,0.115580392,0.104943353,0.109038343,0.105728095,0.10266008,0.107980915,0.123036331,0.094631033,0.11717869,0.114188794,0.102677914,0.114805366,0.082363255,0.088865944,0.101250138,0.090126271,0.11451052,0.102719669,0.102190941,0.099090903,0.094301032,0.078859696,0.118530327,0.116789494,0.085545537,0.116220728,0.095814251,0.11852736,0.100937558,0.120508363,0.078859696,0.123036331,0.105270963
May-20,0.152579588,0.131718156,0.157399084,0.144601536,0.168391467,0.138261567,0.152686218,0.146972043,0.12117632,0.157392174,0.140415651,0.13275949,0.144291445,0.114219039,0.170079722,0.162698834,0.152981951,0.16183475,0.124177911,0.116062959,0.106486828,0.129097177,0.152088357,0.14263616,0.149599648,0.156831036,0.135394034,0.120189052,0.159548116,0.137948705,0.110456996,0.15278632,0.131892684,0.158258711,0.131166868,0.148808194,0.106486828,0.170079722,0.141046226
Jun-20,0.174306077,0.151777811,0.170320626,0.179500262,0.167864896,0.143214055,0.152359294,0.155760089,0.125455512,0.169834659,0.150255556,0.131889901,0.167054085,0.165771961,0.185449119,0.170579353,0.165771961,0.182371471,0.142078755,0.152509182,0.143403141,0.167548645,0.177234247,0.150369025,0.159064695,0.157961786,0.158111081,0.149603262,0.169433328,0.160546542,0.135162007,0.162547864,0.150736654,0.180436542,0.168632831,0.17242,0.125455512,0.185449119,0.159541357
Jul-20,0.187911286,0.061772268,0.168585377,0.20575506,0.120673532,0.124706297,0.087330856,0.1131297,0.160631584,0.150739239,0.167450858,0.16398458,0.172718689,0.115738136,0.206118714,0.085297581,0.094570235,0.094957757,0.086500782,0.201915251,0.08996483,0.222098867,0.136228527,0.189851713,0.075364539,0.163077673,0.18506098,0.186872275,0.189949246,0.175479018,0.151075702,0.147537297,0.048824695,0.141915568,0.035176881,0.212011711,0.035176881,0.222098867,0.13138142
Aug-20,0.339756312,0.316533976,0.346382507,0.310154928,0.323651548,0.309379434,0.29479954,0.261092618,0.241093962,0.3439711,0.33428883,0.259313156,0.340052843,0.340926587,0.320886704,0.329837946,0.257739716,0.295128506,0.322222398,0.329273002,0.265135202,0.316715104,0.3478546,0.298889525,0.293798299,0.288954175,0.292791946,0.272367837,0.351964413,0.328762098,0.268205801,0.318942896,0.28639391,0.364611937,0.326437417,0.367116851,0.241093962,0.367116851,0.309556354
Sep-20,0.379368204,0.387115969,0.390461942,0.365256799,0.417562817,0.347210804,0.393877493,0.322700022,0.308638628,0.337871817,0.37265026,0.295416063,0.344747268,0.396901412,0.396097358,0.367637364,0.238323015,0.340220484,0.316834143,0.374413768,0.343324186,0.439639288,0.398830937,0.374765203,0.373021674,0.303430429,0.327513264,0.283816586,0.414198788,0.365347264,0.287937925,0.39076465,0.325903285,0.389464767,0.306097844,0.321771778,0.238323015,0.439639288,0.351032643
Oct-20,0.46149294,0.390150873,0.546149385,0.443713778,0.456980971,0.428578204,0.493929762,0.42427444,0.385907099,0.452597119,0.47362335,0.36772478,0.439951284,0.484841016,0.450766169,0.461748741,0.452133173,0.453917491,0.418668363,0.489603745,0.475286262,0.471062391,0.448528813,0.451242126,0.338939343,0.392581652,0.446155946,0.378686989,0.519483687,0.46936891,0.397802235,0.474007428,0.396332625,0.483142195,0.493840077,0.520068491,0.338939343,0.546149385,0.445824313
Nov-20,0.357823221,0.326990666,0.395749764,0.333913701,0.359682465,0.312533051,0.38266868,0.342591399,0.266142176,0.314926783,0.345843363,0.287384054,0.326271092,0.353238514,0.377018746,0.357826649,0.351507412,0.331816624,0.357149378,0.363709976,0.321801172,0.349506454,0.334448065,0.354141721,0.287583604,0.324648917,0.344434158,0.313215374,0.377319272,0.378275543,0.260440795,0.366663667,0.292799187,0.384888555,0.330424495,0.346441092,0.260440795,0.395749764,0.337616144
Dec-20,0.257512137,0.076063958,0.307922456,0.293615733,0.204860666,0.210284083,0.147893691,0.211074297,0.248168263,0.212579075,0.221911306,0.267459435,0.221806653,0.24435887,0.315619931,0.163914775,0.149840047,0.17352062,0.140446662,0.309408746,0.181631956,0.300811364,0.243926592,0.207639365,0.123303554,0.30380415,0.282376543,0.276365126,0.274316867,0.307690015,0.14732261,0.275904634,0.07661614,0.228433329,0.06689907,0.298005446,0.06689907,0.315619931,0.206794645
