Date,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24,Entropy_25,Entropy_26,Entropy_27,Entropy_28,Entropy_29,Entropy_30,Entropy_31,Entropy_32,Entropy_33,Entropy_34,Entropy_35,Entropy_36,Min,Max,Mean
Mar-20,0.148180513,0.151106537,0.171471541,0.15415068,0.123613956,0.14403937,0.173769275,0.153122402,0.15415068,0.165392495,0.156249316,0.153164973,0.14403937,0.169899037,0.146930432,0.161423439,0.142174489,0.171471541,0.162518929,0.125163143,0.107358518,0.177334015,0.16034265,0.184824687,0.155192889,0.174941449,0.159276268,0.111917916,0.109433841,0.172612743,0.162518929,0.168749479,0.15415068,0.148180513,0.156249316,0.10406936,0.10406936,0.184824687,0.150707518
Apr-20,0.350087639,0.328115642,0.335084311,0.294508038,0.263749306,0.271097944,0.332240919,0.344417385,0.204794413,0.320167528,0.293425914,0.275160566,0.337906957,0.292322452,0.34214199,0.287682072,0.27407642,0.300275255,0.193458259,0.270645885,0.201778729,0.300450673,0.275653497,0.267479365,0.306115774,0.293425914,0.30538165,0.304660409,0.306115774,0.339283201,0.298044859,0.333707895,0.177771663,0.317147964,0.312133168,0.266920081,0.177771663,0.350087639,0.288616035
May-20,0.405465108,0.492476485,0.507594603,0.530628251,0.541597282,0.59167772,0.47957308,0.405465108,0.353139289,0.458746475,0.41907076,0.396654478,0.326091521,0.313215374,0.530628251,0.514098949,0.496436886,0.533517035,0.307154176,0.530628251,0.341749294,0.513945751,0.545694449,0.440867035,0.507743957,0.401126707,0.566395475,0.3801473,0.530628251,0.405465108,0.435318071,0.449267731,0.29657102,0.497838428,0.554677506,0.458746475,0.29657102,0.59167772,0.449618204
Jun-20,0.510825624,0.427444015,0.427444015,0.4772588,0.376809852,0.414275738,0.439951284,0.402612039,0.316337328,0.52067792,0.282348726,0.405465108,0.472475818,0.351703931,0.500130335,0.387446603,0.390605994,0.480053965,0.287682072,0.494696242,0.278713402,0.487014975,0.452867347,0.452811229,0.424883194,0.399701403,0.427037593,0.365799852,0.411507423,0.444685821,0.396731428,0.461125955,0.315695109,0.405465108,0.408410618,0.405465108,0.278713402,0.52067792,0.408931008
Jul-20,0.47778577,0.40920343,0.451985124,0.46563363,0.484602429,0.46563363,0.513261679,0.392307024,0.296492702,0.476924072,0.336472237,0.484602429,0.27407642,0.47445798,0.555946059,0.43343896,0.478999192,0.508322494,0.281081388,0.518205731,0.344451002,0.55770921,0.520534438,0.416160397,0.489918939,0.374693449,0.483629881,0.426518517,0.405465108,0.484602429,0.457833094,0.434664263,0.294239473,0.506108634,0.420502985,0.54910781,0.27407642,0.55770921,0.435579867
Aug-20,0.675447603,1.079380927,0.831983625,0.955511445,0.731613461,1.043042438,1.098612289,1.036091932,0.519875459,0.873528873,0.593063722,1.14646831,0.831983625,0.68348527,1.247824687,0.762140052,0.920931111,0.891598119,0.648296614,0.99119204,0.586049045,1.289130613,1.033472986,1.049822124,0.902238978,0.774825212,1.034073768,1.138221427,0.896088025,0.965080896,0.916290732,1.178654996,0.554996842,1.068759326,0.863772698,1.213923135,0.519875459,1.289130613,0.893533398
Sep-20,0.561570823,0.737598943,0.79668786,0.610080582,0.880888805,0.835567521,0.763351439,0.84729786,0.559615788,0.717439873,0.476082675,0.727048732,0.526698973,0.630626824,0.884685392,0.736072225,0.802346473,0.63503955,0.489164127,0.806806499,0.563689113,0.724895879,0.678109303,0.557601689,0.717839793,0.925340567,0.870353637,0.830348302,0.773189888,0.907922482,0.55770921,0.764606145,0.734646911,0.986908299,0.924948795,0.740104164,0.476082675,0.986908299,0.717293423
Oct-20,0.701179352,1.107580959,1.058120927,0.920364057,0.838858992,0.677398824,1.368902618,0.6257059,0.742744122,1.275542997,0.646627165,0.889520491,0.920931111,0.85566611,1.047318994,0.762140052,0.793230639,0.794929875,0.651300071,1.192138347,0.651989108,0.928461267,0.937344141,1.132228899,0.944461609,0.980829253,1.395863812,0.943198185,1.192138347,0.607491736,0.953873443,1.063826173,0.825498632,1.070441412,1.14646831,0.762140052,0.607491736,1.395863812,0.904966322
Nov-20,0.667613879,0.757685702,0.830069556,0.676480128,0.624154309,0.639746404,0.851752211,0.599328425,0.635988767,0.936769263,0.504045937,0.833331153,0.668854488,0.566995895,0.817444897,0.684563437,0.578266905,0.750305594,0.555525803,0.936093359,0.592051064,0.630756888,0.90043536,0.562608309,0.791265037,0.631271777,1.023811076,0.796943974,0.860601826,0.684489118,0.876426133,0.909370289,0.556482626,0.841567186,0.705886206,0.688789875,0.504045937,1.023811076,0.715102469
Dec-20,0.406986021,0.576887374,0.685767073,0.505191806,0.459799459,0.434175214,0.640847681,0.475845905,0.529259325,0.438102037,0.467340512,0.58093519,0.632928321,0.495979116,0.612385824,0.632928321,0.400803095,0.506628346,0.49072976,0.542040643,0.556125383,0.496899314,0.66750475,0.48920316,0.371712821,0.627764421,0.527354926,0.56441964,0.706846025,0.461345567,0.576130722,0.606135804,0.527354926,0.540440544,0.498991166,0.634498453,0.371712821,0.706846025,0.531576436
